year,population_group,facility,coefficient,t_statistic,significance_stars,is_significant,direction,evidence_label,interpretation,model
2019,Hispanic Residents,Swimming Pool,-0.015,-2.208,**,True,Negative,Moderate,"In 2019, swimming pool showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Swimming Pool,-0.043,-4.342,***,True,Negative,Strong,"In 2020, swimming pool showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Swimming Pool,0.01,-0.817,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from hispanic residents.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Tennis,0.025,-4.686,***,True,Positive,Strong,"In 2019, tennis showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Tennis,0.019,-2.306,**,True,Positive,Moderate,"In 2020, tennis showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Tennis,0.045,-4.492,***,True,Positive,Strong,"In 2021, tennis showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Playground,0.015,-1.866,*,True,Positive,Suggestive,"In 2019, playground showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Playground,0.019,-1.603,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between playground and visits from hispanic residents.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Playground,-0.012,-0.96,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between playground and visits from hispanic residents.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Baseball,-0.043,-4.699,***,True,Negative,Strong,"In 2019, baseball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Baseball,-0.002,-0.147,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between baseball and visits from hispanic residents.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Baseball,-0.003,-0.264,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between baseball and visits from hispanic residents.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Recreation Center,0.014,-1.904,*,True,Positive,Suggestive,"In 2019, recreation center showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Recreation Center,-0.018,-1.682,*,True,Negative,Suggestive,"In 2020, recreation center showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Recreation Center,0.016,-1.231,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between recreation center and visits from hispanic residents.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Garden Center,-0.001,-0.297,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between garden center and visits from hispanic residents.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Garden Center,0.021,-2.282,**,True,Positive,Moderate,"In 2020, garden center showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Garden Center,-0.031,-2.74,***,True,Negative,Strong,"In 2021, garden center showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Basketball,-0.047,-7.097,***,True,Negative,Strong,"In 2019, basketball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Basketball,-0.037,-3.616,***,True,Negative,Strong,"In 2020, basketball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Basketball,-0.027,-2.347,**,True,Negative,Moderate,"In 2021, basketball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Parking Lot,0.058,-7.321,***,True,Positive,Strong,"In 2019, parking lot showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Parking Lot,0.082,-7.043,***,True,Positive,Strong,"In 2020, parking lot showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Parking Lot,0.033,-2.342,**,True,Positive,Moderate,"In 2021, parking lot showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
